11:16:59.137612 RX TAKEOFF ACK=UNSUPPORTED latency=43ms
11:16:59.303376 TX UP amount=0.20 speed_limit=0.00
11:16:59.325448 RX UP ACK=UNSUPPORTED latency=22ms
11:16:59.635817 TX TAKEOFF amount=1.00 speed_limit=0.00
11:16:59.691937 RX TAKEOFF ACK=UNSUPPORTED latency=56ms
11:16:59.789752 TX TAKEOFF amount=1.00 speed_limit=0.00
11:16:59.816978 RX TAKEOFF ACK=UNSUPPORTED latency=27ms
11:17:00.021849 TX UP amount=0.20 speed_limit=0.00
11:17:00.054818 RX UP ACK=UNSUPPORTED latency=33ms
11:17:00.355278 TX TAKEOFF amount=1.00 speed_limit=0.00
11:17:00.373143 RX TAKEOFF ACK=UNSUPPORTED latency=18ms
11:17:00.515857 TX TAKEOFF amount=1.00 speed_limit=0.00
11:17:00.549905 RX TAKEOFF ACK=UNSUPPORTED latency=34ms
