09:47:32 [激光测距] 已通过 MyLink MAVLink 收到四路距离数据
09:47:32 [电机输出] 已通过 MyLink MAVLink 收到四路电机PWM数据
09:47:32 [贴顶流程] 待机
09:47:34 [成功] PX4已连接：udp:127.0.0.1:14540 系统ID=1 组件ID=1
09:47:34 [成功] 已保存UDP地址：udp:127.0.0.1:14540
09:47:34 [成功] 本地NED坐标原点=(0.04563143104314804, -0.03644619509577751, -0.2079874873161316)；已启动10 Hz本地位置数据流
09:47:35.470266 [轨迹] 序号=13 单调时间=4486.489656 时间=4486.490 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.012,0.008,-0.215) 实际速度=(-0.031,0.023,-0.072) 最终目标=(-0.012,0.008,-0.215) 指令位置=(-0.012,0.008,-0.215) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,0.000) 滚转角=-0.14度 俯仰角=-0.18度
09:47:35.571124 [轨迹] 序号=14 单调时间=4486.590428 时间=4486.590 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(0.009,-0.002,-0.214) 实际速度=(-0.031,0.023,-0.071) 最终目标=(0.009,-0.002,-0.214) 指令位置=(0.009,-0.002,-0.214) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,0.000) 滚转角=-0.14度 俯仰角=-0.18度
09:47:35.675250 [轨迹] 序号=15 单调时间=4486.694475 时间=4486.694 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(0.006,0.002,-0.212) 实际速度=(-0.032,0.024,-0.069) 最终目标=(0.006,0.002,-0.212) 指令位置=(0.006,0.002,-0.212) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,0.000) 滚转角=-0.14度 俯仰角=-0.19度
09:47:35.778740 [轨迹] 序号=16 单调时间=4486.798158 时间=4486.798 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(0.005,0.003,-0.211) 实际速度=(-0.032,0.024,-0.069) 最终目标=(0.005,0.003,-0.211) 指令位置=(0.005,0.003,-0.211) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,0.000) 滚转角=-0.14度 俯仰角=-0.19度
09:47:35.882289 [轨迹] 序号=17 单调时间=4486.901066 时间=4486.901 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(0.004,0.005,-0.210) 实际速度=(-0.032,0.025,-0.068) 最终目标=(0.004,0.005,-0.210) 指令位置=(0.004,0.005,-0.210) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,0.000) 滚转角=-0.14度 俯仰角=-0.19度
09:47:35.990466 [轨迹] 序号=18 单调时间=4487.009843 时间=4487.010 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(0.003,0.007,-0.209) 实际速度=(-0.032,0.025,-0.067) 最终目标=(0.003,0.007,-0.209) 指令位置=(0.003,0.007,-0.209) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,0.000) 滚转角=-0.14度 俯仰角=-0.19度
09:47:36.095229 [轨迹] 序号=19 单调时间=4487.114560 时间=4487.115 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(0.002,0.008,-0.208) 实际速度=(-0.032,0.025,-0.067) 最终目标=(0.002,0.008,-0.208) 指令位置=(0.002,0.008,-0.208) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,0.000) 滚转角=-0.14度 俯仰角=-0.19度
09:47:36.196909 [轨迹] 序号=20 单调时间=4487.216359 时间=4487.216 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.000,0.010,-0.205) 实际速度=(-0.032,0.025,-0.066) 最终目标=(-0.000,0.010,-0.205) 指令位置=(-0.000,0.010,-0.205) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,0.000) 滚转角=-0.14度 俯仰角=-0.19度
09:47:36.300755 [轨迹] 序号=21 单调时间=4487.319991 时间=4487.320 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.001,0.011,-0.204) 实际速度=(-0.032,0.025,-0.066) 最终目标=(-0.001,0.011,-0.204) 指令位置=(-0.001,0.011,-0.204) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,0.000) 滚转角=-0.14度 俯仰角=-0.18度
09:47:36.411504 [轨迹] 序号=22 单调时间=4487.429997 时间=4487.430 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.002,0.012,-0.203) 实际速度=(-0.032,0.025,-0.065) 最终目标=(-0.002,0.012,-0.203) 指令位置=(-0.002,0.012,-0.203) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,0.000) 滚转角=-0.14度 俯仰角=-0.18度
