10:03:00 [激光测距] 已通过 MyLink MAVLink 收到四路距离数据
10:03:01 [电机输出] 已通过 MyLink MAVLink 收到四路电机PWM数据
10:03:03 [成功] PX4已连接：udp:127.0.0.1:14540 系统ID=1 组件ID=1
10:03:03 [贴顶流程] 待机
10:03:03 [离地高度] 已请求3 Hz测距数据流
10:03:03 [成功] 已保存UDP地址：udp:127.0.0.1:14540
10:03:03 [成功] 本地NED坐标原点=(-0.026564037427306175, 0.016641510650515556, -0.10862046480178833)；已启动10 Hz本地位置数据流
10:03:04.796284 [轨迹] 序号=13 单调时间=4599.576192 时间=4599.576 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.025,0.016,-0.106) 实际速度=(-0.001,-0.001,-0.011) 最终目标=(-0.025,0.016,-0.106) 指令位置=(-0.025,0.016,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:04.900837 [轨迹] 序号=14 单调时间=4599.680650 时间=4599.681 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.025,0.016,-0.106) 实际速度=(-0.001,-0.001,-0.011) 最终目标=(-0.025,0.016,-0.106) 指令位置=(-0.025,0.016,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:05.004931 [轨迹] 序号=15 单调时间=4599.784815 时间=4599.785 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.025,0.016,-0.106) 实际速度=(-0.001,-0.001,-0.010) 最终目标=(-0.025,0.016,-0.106) 指令位置=(-0.025,0.016,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:05.108709 [轨迹] 序号=16 单调时间=4599.888596 时间=4599.889 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.024,0.016,-0.106) 实际速度=(-0.001,-0.001,-0.010) 最终目标=(-0.024,0.016,-0.106) 指令位置=(-0.024,0.016,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:05.213140 [轨迹] 序号=17 单调时间=4599.992954 时间=4599.993 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.024,0.017,-0.105) 实际速度=(-0.000,-0.001,-0.010) 最终目标=(-0.024,0.017,-0.105) 指令位置=(-0.024,0.017,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:05.316378 [轨迹] 序号=18 单调时间=4600.096198 时间=4600.096 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.024,0.017,-0.105) 实际速度=(-0.000,-0.001,-0.010) 最终目标=(-0.024,0.017,-0.105) 指令位置=(-0.024,0.017,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:05.419743 [轨迹] 序号=19 单调时间=4600.199552 时间=4600.200 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.024,0.017,-0.105) 实际速度=(-0.000,-0.001,-0.010) 最终目标=(-0.024,0.017,-0.105) 指令位置=(-0.024,0.017,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:05.523203 [轨迹] 序号=20 单调时间=4600.303002 时间=4600.303 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.024,0.017,-0.105) 实际速度=(-0.000,-0.001,-0.010) 最终目标=(-0.024,0.017,-0.105) 指令位置=(-0.024,0.017,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:05.626995 [轨迹] 序号=21 单调时间=4600.406753 时间=4600.407 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.023,0.017,-0.105) 实际速度=(-0.000,-0.001,-0.010) 最终目标=(-0.023,0.017,-0.105) 指令位置=(-0.023,0.017,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:05.730629 [轨迹] 序号=22 单调时间=4600.510606 时间=4600.511 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.023,0.017,-0.105) 实际速度=(-0.000,-0.001,-0.010) 最终目标=(-0.023,0.017,-0.105) 指令位置=(-0.023,0.017,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
